"Item ID",Category,"Item Name",Variation,"Online Display Name","Item Type",Price,Description,Dietary,"Short Code","Sap Code","HSN Code",Weight,"Weight Unit",Rank,"Packing Charges","Expose in Captain",Goods/Services,"Short Code Two","Allow Decimal Qty","Manufacturing Date (DD-MM-YYYY)","Expiry Date (DD-MM-YYYY)","Dine-In QR"
1286069371,"Ice Creams","Scoop Ice Cream",,,item,60.00,"A classic single scoop of ice cream.",veg,~119,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069372,"Ice Creams","Fruit Salad With Ice Cream",,,item,90.00,"A refreshing fruit salad served with a scoop of ice cream.",veg,fs,,,,,1,0,Yes,,,Yes,,,Yes
1286069373,"Ice Creams","Cookies With Cream",,,item,90.00,"Delicious cookies served with rich cream.",veg,cc,,,,,1,0,Yes,,,Yes,,,Yes
1286069374,"Ice Creams","Mexican Brownie",,,item,80.00,"A rich and flavorful Mexican-style brownie.",veg,MM,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069375,"Ice Creams","Chocolate Fudge",,,item,90.00,"Indulgent chocolate fudge dessert.",veg,~500,,,,,1,0,Yes,,,Yes,,,Yes
1286069376,"Ice Creams","Butter Scotch Fudge",,,item,130.00,"Sweet and creamy butterscotch fudge.",veg,~501,,,,,1,0,Yes,,,Yes,,,Yes
1286069377,"Ice Creams","Death By Chocolate",,,item,130.00,"An intensely rich chocolate dessert, a chocoholic's dream.",veg,~7,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069378,"Ice Creams","Lychee With Ice Cream",,,item,130.00,"Refreshing lychee served with a scoop of ice cream.",veg,~8,,,,,1,0,Yes,,,Yes,,,Yes
1286069379,"Ice Creams",Gudbud,,,item,130.00,"A mixed ice cream sundae with various toppings and flavors.",veg,~9,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069380,"Ice Creams","Sunday Funday",,,item,130.00,"A delightful ice cream treat perfect for a fun day.",veg,~10,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069381,"Ice Creams","All Mix Ice Cream",,,item,140.00,"A medley of various ice cream flavors.",veg,~11,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069382,"Ice Creams","Dry Fruit Sundae",,,item,140.00,"A classic sundae topped with an assortment of dry fruits.",veg,~12,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069383,"Ice Creams","Sizzling Brownie - Hot Chocolate",,,item,140.00,"A warm, sizzling brownie served with hot chocolate.",veg,~13,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069384,Nuttellas,"Nutella Fudge",,,item,130.00,"Rich and creamy fudge infused with Nutella.",veg,~14,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069385,Nuttellas,"Nutella Brownie",,,item,130.00,"A decadent brownie made with Nutella.",veg,~15,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069386,Nuttellas,"Nutella Lychee",,,item,130.00,"An unusual but delicious combination of Nutella and lychee.",veg,~16,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069387,Nuttellas,"Nutella Butterscotch",,,item,130.00,"A delightful mix of Nutella and butterscotch flavors.",veg,~17,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069388,Nuttellas,"Nutella Chocolate",,,item,130.00,"A double chocolate treat with Nutella.",veg,~18,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069389,Nuttellas,"Nutella Cookies",,,item,130.00,"Cookies flavored or filled with Nutella.",veg,~19,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069390,Nuttellas,"Nutella Oreo",,,item,130.00,"A sweet treat combining Nutella and Oreo cookies.",veg,~20,,"	",,,1,0,Yes,,,Yes,,,Yes
1286069391,Nuttellas,"Nutella Bourbon",,,item,130.00,"A unique blend of Nutella and bourbon flavors.",veg,~21,,"	",,,1,0,Yes,,,Yes,,,Yes
